Date,Open,High,Low,Close,Adj Close,Volume
"Nov 25, 2020",121.37,122.38,120.47,122.03,109.44,"11,715,600"
"Nov 24, 2020",120.07,123.50,119.71,123.32,110.60,"20,121,600"
"Nov 23, 2020",116.05,118.17,115.57,117.87,105.71,"13,209,200"
"Nov 20, 2020",114.43,115.65,114.09,114.57,102.75,"12,718,900"
"Nov 19, 2020",114.18,115.82,113.56,115.56,103.64,"10,202,500"
"Nov 18, 2020",117.34,118.61,115.20,115.25,103.36,"12,571,200"
"Nov 17, 2020",115.39,116.44,114.58,116.11,104.14,"14,553,200"
"Nov 16, 2020",117.79,118.61,115.73,117.30,105.20,"19,858,600"
"Nov 13, 2020",114.70,114.86,113.57,114.08,102.31,"11,847,900"
"Nov 12, 2020",112.53,113.96,112.06,113.37,101.68,"22,063,000"
"Nov 11, 2020",116.89,116.96,113.96,114.78,102.94,"14,443,400"
"Nov 10, 2020",117.35,117.45,114.69,116.52,104.50,"20,539,300"
"Nov 9, 2020",113.16,118.90,110.35,116.90,104.84,"47,792,400"
"Nov 6, 2020",105.03,105.10,102.39,102.96,92.34,"12,552,800"
"Nov 5, 2020",101.06,105.10,101.00,104.35,93.59,"17,837,400"
"Nov 4, 2020",101.00,102.07,98.93,100.25,89.91,"18,886,500"
"Nov 3, 2020",103.02,104.74,102.69,103.41,92.74,"17,482,600"
"Nov 2, 2020",99.39,100.88,97.86,100.25,89.91,"15,011,600"
"Oct 30, 2020",97.91,98.42,96.23,98.04,87.93,"15,194,500"
"Oct 29, 2020",96.12,97.98,95.24,97.17,87.15,"14,208,800"
"Oct 28, 2020",97.50,98.30,96.07,96.54,86.58,"16,389,500"
"Oct 27, 2020",100.51,100.92,99.16,99.33,89.09,"10,391,700"
"Oct 26, 2020",102.65,102.70,100.25,101.24,90.80,"12,410,700"
"Oct 23, 2020",103.50,104.45,102.93,103.81,93.10,"15,087,600"
"Oct 22, 2020",99.32,103.24,99.31,102.88,92.27,"14,837,200"
"Oct 21, 2020",100.36,100.99,99.33,99.37,89.12,"10,730,500"
"Oct 20, 2020",100.31,101.77,100.12,100.37,90.02,"11,257,100"
"Oct 19, 2020",101.60,101.87,99.56,99.80,89.51,"11,725,700"
"Oct 16, 2020",101.41,102.33,100.72,101.51,91.04,"13,275,000"
"Oct 15, 2020",99.10,101.78,99.04,101.72,91.23,"17,171,200"
"Oct 14, 2020",101.03,101.93,100.10,100.22,89.88,"15,204,100"
"Oct 13, 2020",103.00,103.22,100.26,100.78,90.39,"21,697,300"
"Oct 12, 2020",101.10,103.00,100.85,102.44,91.87,"16,058,000"
"Oct 9, 2020",102.00,102.11,100.11,101.20,90.76,"13,689,100"
"Oct 8, 2020",100.51,101.92,99.90,101.78,91.28,"15,659,000"
"Oct 7, 2020",98.96,100.35,98.67,99.73,89.44,"16,358,500"
"Oct 6, 2020",100.07,100.86,97.51,98.02,87.91,"19,220,400"
"Oct 5, 2020",98.32,99.25,97.53,99.04,88.83,"13,871,900"
"Oct 2, 2020",95.25,98.59,95.09,97.89,86.99,"15,149,600"
"Oct 1, 2020",97.12,97.77,96.03,96.97,86.17,"15,778,700"
"Sep 30, 2020",95.35,97.20,95.26,96.27,85.55,"16,400,600"
"Sep 29, 2020",96.03,96.03,94.33,95.35,84.73,"12,848,200"
"Sep 28, 2020",95.06,96.93,94.35,96.16,85.45,"20,894,100"
"Sep 25, 2020",92.05,93.72,91.87,93.47,83.06,"13,293,100"
"Sep 24, 2020",92.32,94.30,91.38,92.66,82.34,"18,366,500"
"Sep 23, 2020",94.78,95.35,92.66,92.74,82.41,"19,952,700"
"Sep 22, 2020",94.96,95.66,93.67,94.27,83.77,"19,257,000"
"Sep 21, 2020",95.20,96.05,93.82,95.31,84.69,"28,378,800"
"Sep 18, 2020",97.89,99.49,97.44,98.35,87.40,"20,121,600"
"Sep 17, 2020",98.70,99.34,97.71,98.56,87.58,"18,290,100"
"Sep 16, 2020",99.43,101.13,98.76,99.70,88.60,"19,270,600"
"Sep 15, 2020",102.73,102.85,99.14,99.28,88.22,"23,683,000"
"Sep 14, 2020",101.51,103.46,101.37,102.47,91.06,"19,017,400"
"Sep 11, 2020",99.97,101.36,99.59,101.07,89.81,"13,784,300"
"Sep 10, 2020",101.40,102.42,99.64,99.83,88.71,"15,922,800"
"Sep 9, 2020",100.80,101.69,99.56,100.87,89.64,"13,434,000"
"Sep 8, 2020",102.98,103.57,99.48,99.92,88.79,"22,108,600"
"Sep 4, 2020",104.05,105.21,101.37,103.52,91.99,"26,325,500"
"Sep 3, 2020",103.32,104.99,100.64,101.33,90.04,"23,281,200"
"Sep 2, 2020",99.95,101.94,99.56,101.65,90.33,"14,475,700"
"Sep 1, 2020",99.55,100.87,99.04,100.14,88.99,"11,595,600"
"Aug 31, 2020",102.12,102.18,100.02,100.19,89.03,"14,219,400"
"Aug 28, 2020",103.14,103.25,101.81,102.77,91.32,"13,756,700"
"Aug 27, 2020",99.00,102.65,99.00,102.35,90.95,"22,163,900"
"Aug 26, 2020",99.94,100.27,99.05,99.09,88.05,"12,052,400"
"Aug 25, 2020",101.27,101.98,99.80,100.50,89.31,"13,648,900"
"Aug 24, 2020",98.45,100.21,97.42,100.06,88.92,"17,898,300"
"Aug 21, 2020",97.27,98.57,96.94,97.32,86.48,"12,228,300"
"Aug 20, 2020",97.26,98.03,96.80,97.37,86.52,"13,672,600"
"Aug 19, 2020",98.92,100.59,98.34,98.55,87.57,"13,533,000"
"Aug 18, 2020",99.91,99.91,98.12,98.32,87.37,"13,246,500"
"Aug 17, 2020",101.50,102.00,99.53,99.71,88.60,"14,988,000"
"Aug 14, 2020",101.50,103.31,101.42,102.41,91.00,"12,134,400"
"Aug 13, 2020",102.00,103.36,101.64,102.37,90.97,"13,598,600"
"Aug 12, 2020",106.16,106.43,101.71,102.94,91.47,"19,240,800"
"Aug 11, 2020",103.86,106.16,103.51,103.82,92.26,"31,518,600"
"Aug 10, 2020",100.11,102.04,100.03,100.64,89.43,"14,989,900"
"Aug 7, 2020",96.93,99.49,96.56,99.38,88.31,"14,743,700"
"Aug 6, 2020",97.58,98.10,96.54,97.24,86.41,"10,482,100"
"Aug 5, 2020",95.87,98.47,95.72,97.21,86.38,"15,260,900"
"Aug 4, 2020",95.91,95.95,95.03,95.55,84.91,"13,366,200"
"Aug 3, 2020",97.02,97.57,95.85,96.10,85.40,"12,962,800"
"Jul 31, 2020",96.48,96.93,95.25,96.64,85.88,"14,535,000"
